team1,team2,matches,team1_wins,team2_wins,no_result,team1_win_pct,team2_win_pct
Kolkata Knight Riders,Royal Challengers Bangalore,32,18,14,0,0.5625,0.4375
Chennai Super Kings,Punjab Kings,30,16,14,0,0.5333333333333333,0.4666666666666667
Delhi Capitals,Rajasthan Royals,29,14,15,0,0.4827586206896552,0.5172413793103449
Mumbai Indians,Royal Challengers Bangalore,32,18,14,0,0.5625,0.4375
Kolkata Knight Riders,Sunrisers Hyderabad,37,26,11,0,0.7027027027027027,0.2972972972972973
Punjab Kings,Rajasthan Royals,28,12,16,0,0.42857142857142855,0.5714285714285714
Delhi Capitals,Sunrisers Hyderabad,35,18,17,0,0.5142857142857142,0.4857142857142857
Chennai Super Kings,Mumbai Indians,37,17,20,0,0.4594594594594595,0.5405405405405406
Rajasthan Royals,Sunrisers Hyderabad,29,16,13,0,0.5517241379310345,0.4482758620689655
Mumbai Indians,Punjab Kings,32,17,15,0,0.53125,0.46875
Rajasthan Royals,Royal Challengers Bangalore,29,12,15,2,0.4444444444444444,0.5555555555555556
Chennai Super Kings,Kolkata Knight Riders,29,19,10,0,0.6551724137931034,0.3448275862068966
Mumbai Indians,Sunrisers Hyderabad,33,19,14,0,0.5757575757575758,0.42424242424242425
Delhi Capitals,Punjab Kings,33,16,17,0,0.48484848484848486,0.5151515151515151
Chennai Super Kings,Royal Challengers Bangalore,30,20,10,0,0.6666666666666666,0.3333333333333333
Kolkata Knight Riders,Mumbai Indians,34,11,23,0,0.3235294117647059,0.6764705882352942
Delhi Capitals,Royal Challengers Bangalore,30,11,18,1,0.3793103448275862,0.6206896551724138
Punjab Kings,Sunrisers Hyderabad,33,14,19,0,0.42424242424242425,0.5757575757575758
Kolkata Knight Riders,Rajasthan Royals,28,14,14,0,0.5,0.5
Chennai Super Kings,Delhi Capitals,30,19,11,0,0.6333333333333333,0.36666666666666664
Kolkata Knight Riders,Punjab Kings,33,21,12,0,0.6363636363636364,0.36363636363636365
Royal Challengers Bangalore,Sunrisers Hyderabad,33,15,18,0,0.45454545454545453,0.5454545454545454
Delhi Capitals,Mumbai Indians,35,16,19,0,0.45714285714285713,0.5428571428571428
Chennai Super Kings,Rajasthan Royals,29,16,13,0,0.5517241379310345,0.4482758620689655
Punjab Kings,Royal Challengers Bangalore,31,17,14,0,0.5483870967741935,0.45161290322580644
Chennai Super Kings,Sunrisers Hyderabad,31,21,10,0,0.6774193548387096,0.3225806451612903
Mumbai Indians,Rajasthan Royals,29,15,14,0,0.5172413793103449,0.4827586206896552
Delhi Capitals,Kolkata Knight Riders,33,15,18,0,0.45454545454545453,0.5454545454545454
Kochi Tuskers Kerala,Royal Challengers Bangalore,2,0,2,0,0.0,1.0
Pune Warriors India,Punjab Kings,6,3,3,0,0.5,0.5
Kochi Tuskers Kerala,Pune Warriors India,1,0,1,0,0.0,1.0
Kochi Tuskers Kerala,Mumbai Indians,1,1,0,0,1.0,0.0
Delhi Capitals,Pune Warriors India,6,3,2,1,0.6,0.4
Chennai Super Kings,Kochi Tuskers Kerala,2,1,1,0,0.5,0.5
Mumbai Indians,Pune Warriors India,6,5,1,0,0.8333333333333334,0.16666666666666666
Kochi Tuskers Kerala,Kolkata Knight Riders,2,2,0,0,1.0,0.0
Kochi Tuskers Kerala,Rajasthan Royals,2,1,1,0,0.5,0.5
Chennai Super Kings,Pune Warriors India,6,4,2,0,0.6666666666666666,0.3333333333333333
Kochi Tuskers Kerala,Sunrisers Hyderabad,1,0,1,0,0.0,1.0
Pune Warriors India,Royal Challengers Bangalore,5,0,5,0,0.0,1.0
Delhi Capitals,Kochi Tuskers Kerala,2,1,1,0,0.5,0.5
Pune Warriors India,Rajasthan Royals,5,1,4,0,0.2,0.8
Pune Warriors India,Sunrisers Hyderabad,6,1,5,0,0.16666666666666666,0.8333333333333334
Kochi Tuskers Kerala,Punjab Kings,1,0,1,0,0.0,1.0
Kolkata Knight Riders,Pune Warriors India,5,4,1,0,0.8,0.2
Mumbai Indians,Rising Pune Supergiants,6,2,4,0,0.3333333333333333,0.6666666666666666
Gujarat Titans,Punjab Kings,9,5,4,0,0.5555555555555556,0.4444444444444444
Gujarat Titans,Rising Pune Supergiants,4,3,1,0,0.75,0.25
Gujarat Titans,Mumbai Indians,9,5,4,0,0.5555555555555556,0.4444444444444444
Punjab Kings,Rising Pune Supergiants,4,2,2,0,0.5,0.5
Gujarat Titans,Sunrisers Hyderabad,9,3,6,0,0.3333333333333333,0.6666666666666666
Rising Pune Supergiants,Royal Challengers Bangalore,4,2,2,0,0.5,0.5
Gujarat Titans,Royal Challengers Bangalore,8,4,4,0,0.5,0.5
Kolkata Knight Riders,Rising Pune Supergiants,4,3,1,0,0.75,0.25
Rising Pune Supergiants,Sunrisers Hyderabad,4,3,1,0,0.75,0.25
Delhi Capitals,Gujarat Titans,9,6,3,0,0.6666666666666666,0.3333333333333333
Delhi Capitals,Rising Pune Supergiants,4,2,2,0,0.5,0.5
Gujarat Titans,Kolkata Knight Riders,7,5,2,0,0.7142857142857143,0.2857142857142857
Gujarat Titans,Lucknow Super Giants,5,4,1,0,0.8,0.2
Chennai Super Kings,Lucknow Super Giants,5,1,3,1,0.25,0.75
Lucknow Super Giants,Sunrisers Hyderabad,4,3,1,0,0.75,0.25
Delhi Capitals,Lucknow Super Giants,5,2,3,0,0.4,0.6
Lucknow Super Giants,Rajasthan Royals,5,1,4,0,0.2,0.8
Gujarat Titans,Rajasthan Royals,6,5,1,0,0.8333333333333334,0.16666666666666666
Lucknow Super Giants,Mumbai Indians,6,5,1,0,0.8333333333333334,0.16666666666666666
Chennai Super Kings,Gujarat Titans,7,3,4,0,0.42857142857142855,0.5714285714285714
Lucknow Super Giants,Royal Challengers Bangalore,4,1,3,0,0.25,0.75
Lucknow Super Giants,Punjab Kings,4,3,1,0,0.75,0.25
Kolkata Knight Riders,Lucknow Super Giants,5,2,3,0,0.4,0.6
Chennai Super Kings,Royal Challengers Bengaluru,2,1,1,0,0.5,0.5
Punjab Kings,Royal Challengers Bengaluru,2,0,2,0,0.0,1.0
Kolkata Knight Riders,Royal Challengers Bengaluru,2,2,0,0,1.0,0.0
Lucknow Super Giants,Royal Challengers Bengaluru,1,1,0,0,1.0,0.0
Rajasthan Royals,Royal Challengers Bengaluru,2,2,0,0,1.0,0.0
Mumbai Indians,Royal Challengers Bengaluru,1,1,0,0,1.0,0.0
Royal Challengers Bengaluru,Sunrisers Hyderabad,2,1,1,0,0.5,0.5
Gujarat Titans,Royal Challengers Bengaluru,2,0,2,0,0.0,1.0
Delhi Capitals,Royal Challengers Bengaluru,1,0,1,0,0.0,1.0
