id,season,city,date,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match,target_runs,target_overs,home_advantage,toss_advantage,batting_first,winning_team_batted_first,home_team
335982,2008,Bangalore,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140.0,BB McCullum,223.0,20.0,1,False,Kolkata Knight Riders,True,Royal Challengers Bangalore
335983,2008,Chandigarh,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,MEK Hussey,241.0,20.0,1,True,Chennai Super Kings,True,Punjab Kings
335984,2008,Delhi,2008-04-19,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9.0,MF Maharoof,130.0,20.0,1,False,Rajasthan Royals,False,Delhi Capitals
335985,2008,Mumbai,2008-04-20,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5.0,MV Boucher,166.0,20.0,1,False,Mumbai Indians,False,Mumbai Indians
335986,2008,Kolkata,2008-04-20,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,5.0,DJ Hussey,111.0,20.0,1,False,Sunrisers Hyderabad,False,Kolkata Knight Riders
335987,2008,Jaipur,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,wickets,6.0,SR Watson,167.0,20.0,1,False,Punjab Kings,False,Rajasthan Royals
335988,2008,Hyderabad,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,wickets,9.0,V Sehwag,143.0,20.0,1,False,Sunrisers Hyderabad,False,Sunrisers Hyderabad
335989,2008,Chennai,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,ML Hayden,209.0,20.0,1,False,Chennai Super Kings,True,Chennai Super Kings
335990,2008,Hyderabad,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,YK Pathan,215.0,20.0,1,True,Sunrisers Hyderabad,False,Sunrisers Hyderabad
335991,2008,Chandigarh,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,66.0,KC Sangakkara,183.0,20.0,1,False,Punjab Kings,True,Punjab Kings
335992,2008,Bangalore,2008-04-26,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,SR Watson,136.0,20.0,1,True,Royal Challengers Bangalore,False,Royal Challengers Bangalore
