Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls,Batting_Impact,Bowling_Impact,Total_Impact,Player_Role
,Aaron Hardie,,,,No stats,,,,,,,,,,,,,,No stats,,,,,,0.0,0.0,0.0,Unknown
2024.0,Abdul Samad,16.0,2.0,182.0,37*,18.2,108.0,168.52,0.0,0.0,15.0,11.0,9.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.4559999999999995,7.0,12.456,Bowler
2023.0,Abdul Samad,9.0,4.0,169.0,37*,42.25,128.0,132.03,0.0,0.0,10.0,11.0,4.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.9008,7.0,13.9008,All-rounder
2022.0,Abdul Samad,2.0,0.0,4.0,4,2.0,7.0,57.14,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,8.0,0.0,0/8,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2021.0,Abdul Samad,11.0,1.0,111.0,28,12.33,87.0,127.58,0.0,0.0,4.0,8.0,8.0,0.0,11.0,6.0,9.0,1.0,1/9,9.0,9.0,6.0,0.0,0.0,4.388533333333333,5.636363636363637,10.02489696969697,All-rounder
2020.0,Abdul Samad,12.0,3.0,111.0,33,22.2,65.0,170.76,0.0,0.0,8.0,6.0,5.0,0.0,12.0,42.0,96.0,1.0,1/41,96.0,13.71,42.0,0.0,0.0,5.776,0.12499999999999999,5.901,Batsman
,Abhinandan Singh,,,,No stats,,,,,,,,,,,,,,No stats,,,,,,0.0,0.0,0.0,Unknown
2024.0,Abhinav Manohar,2.0,0.0,9.0,8,4.5,16.0,56.25,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2023.0,Abhinav Manohar,9.0,0.0,114.0,42,19.0,83.0,137.35,0.0,0.0,6.0,7.0,4.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.182666666666666,7.0,12.182666666666666,Bowler
2022.0,Abhinav Manohar,8.0,1.0,108.0,43,18.0,75.0,144.0,0.0,0.0,14.0,3.0,4.0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.279999999999999,7.0,12.28,Bowler
