Feature,Importance
team2_venue_win_rate,0.7580087142586863
team1_venue_win_rate,0.20766383468336622
season_2013,0.009353488912179058
team2_h2h_win_rate,0.004530005971010718
team1_is_home,0.004196333351661558
team1_h2h_win_rate,0.0033440579259456766
season_2012,0.002485863977894709
season_2008,0.0021378708721027815
season_2020,0.0018581202658281997
venue_batting_first_win_rate,0.0017376414519006116
season_2021,0.0015738533798330273
venue_Kingsmead,0.0014919538003894794
season_2019,0.0007452111625288118
season_2010,0.00034420018303880044
team1_recent_win_rate,0.00029920515781514396
venue_Punjab Cricket Association IS Bindra Stadium,0.0001168595440234496
"venue_Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0.00011278510179523673
team2_recent_win_rate,2.720488668752807e-17
team2_is_home,0.0
team1_form_score,0.0
team2_form_score,0.0
team1_won_toss,0.0
team2_won_toss,0.0
toss_decision_bat,0.0
venue_Arun Jaitley Stadium,0.0
"venue_Arun Jaitley Stadium, Delhi",0.0
venue_Barabati Stadium,0.0
"venue_Barsapara Cricket Stadium, Guwahati",0.0
"venue_Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.0
venue_Brabourne Stadium,0.0
"venue_Brabourne Stadium, Mumbai",0.0
venue_Buffalo Park,0.0
venue_De Beers Diamond Oval,0.0
venue_Dr DY Patil Sports Academy,0.0
"venue_Dr DY Patil Sports Academy, Mumbai",0.0
venue_Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0.0
venue_Dubai International Cricket Stadium,0.0
venue_Eden Gardens,0.0
"venue_Eden Gardens, Kolkata",0.0
venue_Feroz Shah Kotla,0.0
venue_Green Park,0.0
venue_Himachal Pradesh Cricket Association Stadium,0.0
"venue_Himachal Pradesh Cricket Association Stadium, Dharamsala",0.0
venue_Holkar Cricket Stadium,0.0
venue_JSCA International Stadium Complex,0.0
venue_M Chinnaswamy Stadium,0.0
"venue_M Chinnaswamy Stadium, Bengaluru",0.0
venue_M.Chinnaswamy Stadium,0.0
venue_MA Chidambaram Stadium,0.0
"venue_MA Chidambaram Stadium, Chepauk",0.0
"venue_MA Chidambaram Stadium, Chepauk, Chennai",0.0
"venue_Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0.0
venue_Maharashtra Cricket Association Stadium,0.0
"venue_Maharashtra Cricket Association Stadium, Pune",0.0
"venue_Narendra Modi Stadium, Ahmedabad",0.0
venue_Nehru Stadium,0.0
venue_New Wanderers Stadium,0.0
venue_Newlands,0.0
venue_OUTsurance Oval,0.0
"venue_Punjab Cricket Association IS Bindra Stadium, Mohali",0.0
"venue_Punjab Cricket Association Stadium, Mohali",0.0
venue_Rajiv Gandhi International Stadium,0.0
"venue_Rajiv Gandhi International Stadium, Uppal",0.0
"venue_Rajiv Gandhi International Stadium, Uppal, Hyderabad",0.0
"venue_Sardar Patel Stadium, Motera",0.0
venue_Saurashtra Cricket Association Stadium,0.0
venue_Sawai Mansingh Stadium,0.0
"venue_Sawai Mansingh Stadium, Jaipur",0.0
venue_Shaheed Veer Narayan Singh International Stadium,0.0
venue_Sharjah Cricket Stadium,0.0
venue_Sheikh Zayed Stadium,0.0
venue_St George's Park,0.0
venue_Subrata Roy Sahara Stadium,0.0
venue_SuperSport Park,0.0
"venue_Vidarbha Cricket Association Stadium, Jamtha",0.0
venue_Wankhede Stadium,0.0
"venue_Wankhede Stadium, Mumbai",0.0
"venue_Zayed Cricket Stadium, Abu Dhabi",0.0
season_2009,0.0
season_2011,0.0
season_2014,0.0
season_2015,0.0
season_2016,0.0
season_2017,0.0
season_2018,0.0
season_2022,0.0
season_2023,0.0
season_2024,0.0
